round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
149,1,BTC,3,high,-0.004615573212504387,0.012591825798153877,0.017207399010658264,0.003203856982290744,25
150,3,ETH,1,high,0.0011608446948230267,0.008539898321032524,0.0073790536262094975,0.01513395976060285,26
151,5,ETH,7,high,0.004234379157423973,0.012853817082941532,0.008619437925517559,0.011796266736032877,26
152,4,ETH,3,high,0.0008507370948791504,0.005528526846319437,0.004677789751440287,-0.0036308154836297017,25
153,2,BTC,7,high,-0.008205465972423553,0.022380050271749496,0.03058551624417305,0.009537121567588585,26
154,0,BTC,1,high,-0.006933686323463917,0.013322257436811924,0.02025594376027584,0.004369150121839574,26
155,1,BTC,3,high,-0.0030431021004915237,0.0273059643805027,0.030349066480994225,0.002963589325260657,26
156,3,ETH,1,high,0.001119087915867567,0.006301868706941605,0.0051827807910740376,0.014614890433020063,27
157,5,ETH,7,high,0.002131182700395584,0.010990207083523273,0.00885902438312769,0.011438300660638903,27
158,4,ETH,3,high,0.0009809210896492004,0.005498770158737898,0.004517849069088697,-0.0034534410000420517,26
159,2,BTC,7,high,0.003292003646492958,0.020730474963784218,0.01743847131729126,0.009305820903844303,27
160,0,BTC,1,high,-0.002620191313326359,0.00375830614939332,0.006378497462719679,0.004110285624240835,27
161,1,BTC,3,high,-0.004437316209077835,0.011002998799085617,0.015440315008163452,0.00268948171287775,27
162,3,ETH,1,high,0.0007217512466013432,0.007902196608483791,0.007180445361882448,0.014118706890647965,28
163,5,ETH,7,high,0.0031422870233654976,0.012656699866056442,0.009514412842690945,0.01114201445930771,28
164,4,ETH,3,high,0.0018687895499169827,0.00647379457950592,0.004605005029588938,-0.0032563213500435687,27
165,2,BTC,7,high,-0.005069179460406303,0.018986262381076813,0.024055441841483116,0.008792428033692495,28
166,0,BTC,1,high,-0.004769805818796158,0.007733447477221489,0.012503253296017647,0.0037931395012752284,28
167,1,BTC,3,high,-0.004384474828839302,0.019203048199415207,0.02358752302825451,0.0024368404078164265,28
168,3,ETH,1,high,0.00015085749328136444,0.004632134921848774,0.0044812774285674095,0.013637056911428427,29
169,5,ETH,7,high,0.0009710574522614479,0.010323237627744675,0.009352180175483227,0.010791291803892322,29
170,4,ETH,3,high,0.001197586301714182,0.005928080528974533,0.004730494227260351,-0.003097253219623649,28
171,2,BTC,7,high,0.004408843815326691,0.023105265572667122,0.01869642175734043,0.008641269957197122,29
172,0,BTC,1,high,-0.00016887811943888664,0.003958757035434246,0.004127635154873133,0.0036565182040092245,29
173,1,BTC,3,high,-0.001776055432856083,0.009233320131897926,0.01100937556475401,0.002291568137448409,29
174,3,ETH,1,high,-0.00013116002082824707,0.004849411081522703,0.00498057110235095,0.013178116347019871,30
175,5,ETH,7,high,0.0013664113357663155,0.010534829460084438,0.009168418124318123,0.010477129121621456,30
176,4,ETH,3,high,0.0012070592492818832,0.006093645468354225,0.004886586219072342,-0.0029488286517303547,29
177,2,BTC,7,high,-0.003353586420416832,0.017853807657957077,0.02120739407837391,0.008241441411276657,30
178,0,BTC,1,high,-0.0038391342386603355,0.005537922494113445,0.00937705673277378,0.0034066631225869058,30
179,1,BTC,3,high,-0.0052436403930187225,0.015857039019465446,0.02110067941248417,0.002040394519766171,30
180,3,ETH,1,high,-0.0006210259161889553,0.00396183505654335,0.0045828609727323055,0.012732982725626039,31
181,5,ETH,7,high,0.00023022666573524475,0.01043912023305893,0.010208893567323685,0.010146583881108997,31
182,4,ETH,3,high,0.000863970723003149,0.006734905764460564,0.005870935041457415,-0.002821735339239238,30
183,2,BTC,7,high,0.0028689727187156677,0.02994294837117195,0.027073975652456284,0.008068135969581142,31
184,0,BTC,1,high,0.00312298396602273,0.010290677659213543,0.007167693693190813,0.0033975121820525775,31
185,1,BTC,3,high,0.002952304668724537,0.013428771868348122,0.010476467199623585,0.002069810976184183,31
